checking_status,duration,credit_history,purpose,savings_status,employment,other_parties,property_magnitude,other_payment_plans,housing,class,y
>=200,12,existing paid,radio/tv,<100,1<=X<4,none,car,none,rent,good,1
>=200,6,existing paid,new car,>=1000,<1,none,real estate,none,own,good,1
0<=X<200,36,existing paid,radio/tv,<100,<1,none,no known property,none,own,good,1
<0,27,existing paid,radio/tv,<100,1<=X<4,none,car,none,own,good,1
<0,18,existing paid,furniture/equipment,<100,1<=X<4,none,car,none,own,bad,0
no checking,21,critical/other existing credit,furniture/equipment,<100,<1,none,life insurance,none,own,good,1
0<=X<200,48,all paid,business,100<=X<500,4<=X<7,none,car,none,own,good,1
<0,6,critical/other existing credit,new car,<100,>=7,none,no known property,none,own,good,1
no checking,12,critical/other existing credit,new car,100<=X<500,4<=X<7,none,car,none,own,good,1
<0,36,critical/other existing credit,furniture/equipment,<100,1<=X<4,guarantor,life insurance,none,own,good,1
no checking,18,critical/other existing credit,radio/tv,>=1000,>=7,none,car,none,own,good,1
no checking,6,existing paid,radio/tv,100<=X<500,>=7,none,no known property,bank,for free,good,1
no checking,10,existing paid,radio/tv,<100,1<=X<4,none,life insurance,none,own,good,1
>=200,36,existing paid,radio/tv,<100,1<=X<4,none,car,none,own,good,1
0<=X<200,24,critical/other existing credit,used car,>=1000,>=7,none,no known property,none,rent,good,1
0<=X<200,24,delayed previously,business,100<=X<500,4<=X<7,none,car,none,rent,good,1
<0,12,existing paid,furniture/equipment,<100,1<=X<4,none,car,none,rent,bad,0
<0,9,critical/other existing credit,repairs,100<=X<500,>=7,guarantor,real estate,none,own,good,1
<0,12,all paid,retraining,<100,>=7,none,car,bank,own,good,1
0<=X<200,24,existing paid,new car,100<=X<500,4<=X<7,none,car,bank,own,good,1
no checking,6,critical/other existing credit,radio/tv,no known savings,1<=X<4,none,real estate,none,own,good,1
no checking,24,critical/other existing credit,radio/tv,100<=X<500,>=7,none,real estate,none,own,good,1
no checking,18,critical/other existing credit,new car,<100,<1,none,life insurance,none,own,good,1
no checking,15,existing paid,domestic appliance,500<=X<1000,4<=X<7,none,life insurance,none,own,good,1
0<=X<200,10,existing paid,new car,<100,unemployed,none,no known property,bank,for free,good,1
no checking,36,existing paid,new car,500<=X<1000,>=7,none,life insurance,none,own,good,1
no checking,6,existing paid,furniture/equipment,500<=X<1000,1<=X<4,none,car,none,own,good,1
<0,18,existing paid,furniture/equipment,<100,unemployed,none,car,none,own,bad,0
0<=X<200,11,existing paid,furniture/equipment,>=1000,<1,none,real estate,none,own,good,1
no checking,24,existing paid,furniture/equipment,<100,4<=X<7,none,life insurance,none,rent,good,1
0<=X<200,24,critical/other existing credit,business,<100,>=7,none,real estate,none,own,bad,0
<0,15,no credits/all paid,new car,<100,>=7,none,car,none,rent,bad,0
no checking,12,existing paid,furniture/equipment,<100,1<=X<4,none,real estate,none,own,good,1
0<=X<200,24,delayed previously,furniture/equipment,<100,unemployed,none,life insurance,none,own,bad,0
0<=X<200,8,existing paid,radio/tv,<100,1<=X<4,guarantor,real estate,none,own,good,1
<0,21,delayed previously,education,<100,<1,none,life insurance,none,own,bad,0
no checking,30,all paid,used car,no known savings,unemployed,none,real estate,bank,own,bad,0
<0,12,existing paid,furniture/equipment,<100,1<=X<4,none,car,none,own,good,1
<0,6,critical/other existing credit,radio/tv,500<=X<1000,>=7,none,car,none,own,good,1
no checking,12,existing paid,radio/tv,<100,4<=X<7,none,car,none,rent,good,1
<0,21,critical/other existing credit,new car,<100,>=7,none,real estate,none,own,good,1
no checking,36,delayed previously,business,<100,<1,none,car,none,own,bad,0
0<=X<200,36,delayed previously,business,<100,1<=X<4,none,real estate,stores,own,bad,0
<0,21,all paid,new car,no known savings,1<=X<4,none,life insurance,none,own,bad,0
no checking,24,critical/other existing credit,furniture/equipment,>=1000,1<=X<4,none,real estate,none,own,good,1
0<=X<200,18,critical/other existing credit,new car,<100,>=7,none,car,bank,own,bad,0
no checking,15,critical/other existing credit,radio/tv,<100,1<=X<4,none,life insurance,none,own,good,1
0<=X<200,9,all paid,used car,<100,>=7,none,no known property,bank,for free,bad,0
0<=X<200,16,critical/other existing credit,new car,<100,unemployed,none,car,none,for free,good,1
<0,12,existing paid,radio/tv,100<=X<500,4<=X<7,none,life insurance,none,own,bad,0
0<=X<200,18,no credits/all paid,furniture/equipment,<100,1<=X<4,none,car,bank,own,good,1
no checking,24,existing paid,business,>=1000,1<=X<4,none,life insurance,none,own,bad,0
0<=X<200,48,no credits/all paid,business,100<=X<500,4<=X<7,none,no known property,none,for free,bad,0
0<=X<200,27,existing paid,business,<100,1<=X<4,none,car,none,own,bad,0
no checking,6,existing paid,radio/tv,<100,4<=X<7,none,real estate,none,rent,good,1
0<=X<200,45,existing paid,radio/tv,100<=X<500,1<=X<4,guarantor,life insurance,none,rent,bad,0
0<=X<200,9,critical/other existing credit,education,<100,>=7,none,car,none,own,bad,0
no checking,6,critical/other existing credit,radio/tv,<100,1<=X<4,none,car,none,own,good,1
0<=X<200,12,existing paid,furniture/equipment,100<=X<500,<1,none,car,bank,rent,bad,0
0<=X<200,24,existing paid,used car,no known savings,>=7,none,no known property,bank,for free,good,1
0<=X<200,18,delayed previously,furniture/equipment,<100,>=7,none,no known property,none,own,bad,0
no checking,9,critical/other existing credit,education,500<=X<1000,>=7,none,car,none,own,good,1
<0,12,existing paid,new car,<100,1<=X<4,none,real estate,none,own,good,1
no checking,27,delayed previously,business,<100,4<=X<7,none,car,none,own,good,1
<0,12,existing paid,retraining,<100,4<=X<7,none,life insurance,none,rent,bad,0
no checking,12,critical/other existing credit,new car,<100,>=7,none,real estate,none,own,good,1
<0,30,critical/other existing credit,used car,<100,>=7,none,no known property,none,for free,good,1
no checking,12,critical/other existing credit,furniture/equipment,<100,>=7,none,real estate,none,own,good,1
0<=X<200,12,critical/other existing credit,domestic appliance,<100,4<=X<7,none,life insurance,none,own,good,1
<0,24,existing paid,business,<100,1<=X<4,none,car,stores,own,good,1
no checking,12,existing paid,used car,>=1000,4<=X<7,none,life insurance,none,own,good,1
no checking,9,critical/other existing credit,radio/tv,no known savings,1<=X<4,none,real estate,none,own,good,1
no checking,36,existing paid,radio/tv,no known savings,>=7,none,real estate,none,own,good,1
<0,27,no credits/all paid,business,<100,unemployed,none,life insurance,stores,own,bad,0
>=200,30,delayed previously,business,<100,>=7,none,real estate,none,own,bad,0
no checking,36,critical/other existing credit,radio/tv,no known savings,>=7,none,car,none,own,good,1
0<=X<200,6,critical/other existing credit,retraining,no known savings,4<=X<7,none,life insurance,none,own,good,1
<0,18,no credits/all paid,business,<100,4<=X<7,none,life insurance,bank,own,good,1
>=200,36,existing paid,radio/tv,<100,1<=X<4,none,real estate,none,own,good,1
<0,24,existing paid,furniture/equipment,<100,1<=X<4,none,real estate,none,rent,good,1
no checking,10,existing paid,new car,<100,1<=X<4,none,car,none,own,good,1
0<=X<200,12,existing paid,radio/tv,<100,<1,guarantor,real estate,bank,own,good,1
<0,12,existing paid,education,no known savings,1<=X<4,none,life insurance,bank,rent,good,1
no checking,12,existing paid,radio/tv,<100,1<=X<4,none,real estate,bank,own,good,1
no checking,24,delayed previously,business,no known savings,1<=X<4,none,real estate,none,own,good,1
no checking,15,existing paid,used car,<100,1<=X<4,none,car,none,own,good,1
no checking,36,no credits/all paid,repairs,<100,1<=X<4,none,car,none,own,good,1
0<=X<200,48,existing paid,radio/tv,>=1000,4<=X<7,co applicant,no known property,bank,own,bad,0
<0,12,existing paid,furniture/equipment,<100,>=7,none,no known property,none,for free,bad,0
no checking,9,existing paid,radio/tv,<100,4<=X<7,none,car,none,own,bad,0
<0,24,existing paid,furniture/equipment,<100,<1,none,no known property,bank,for free,good,1
>=200,36,existing paid,radio/tv,<100,1<=X<4,none,car,none,own,bad,0
no checking,9,existing paid,new car,500<=X<1000,>=7,none,no known property,none,for free,good,1
no checking,12,existing paid,radio/tv,100<=X<500,4<=X<7,none,no known property,none,own,good,1
0<=X<200,18,existing paid,radio/tv,<100,1<=X<4,guarantor,real estate,none,own,good,1
no checking,4,critical/other existing credit,radio/tv,<100,4<=X<7,none,real estate,none,own,good,1
<0,24,existing paid,radio/tv,<100,unemployed,none,car,stores,own,bad,0
0<=X<200,6,existing paid,new car,no known savings,unemployed,none,life insurance,none,own,bad,0
0<=X<200,21,existing paid,business,100<=X<500,>=7,none,car,bank,rent,bad,0
no checking,12,critical/other existing credit,radio/tv,<100,1<=X<4,none,life insurance,none,own,good,1
<0,30,existing paid,radio/tv,<100,>=7,guarantor,life insurance,none,own,good,1
<0,24,existing paid,new car,no known savings,>=7,none,car,bank,own,bad,0
no checking,6,existing paid,radio/tv,<100,4<=X<7,none,life insurance,none,own,good,1
<0,48,no credits/all paid,used car,<100,>=7,none,no known property,none,for free,bad,0
no checking,12,critical/other existing credit,business,<100,1<=X<4,none,real estate,none,own,good,1
no checking,12,all paid,retraining,500<=X<1000,1<=X<4,none,real estate,none,own,good,1
no checking,24,existing paid,business,<100,4<=X<7,none,real estate,none,own,good,1
no checking,12,critical/other existing credit,radio/tv,<100,>=7,none,real estate,none,own,good,1
no checking,6,no credits/all paid,new car,100<=X<500,1<=X<4,none,no known property,bank,rent,good,1
>=200,24,existing paid,furniture/equipment,<100,1<=X<4,none,real estate,none,own,good,1
no checking,18,existing paid,radio/tv,<100,unemployed,co applicant,real estate,none,rent,bad,0
<0,6,critical/other existing credit,new car,>=1000,4<=X<7,none,real estate,none,own,good,1
>=200,12,existing paid,furniture/equipment,<100,1<=X<4,none,car,none,own,good,1
0<=X<200,30,existing paid,new car,<100,1<=X<4,guarantor,no known property,bank,own,bad,0
no checking,24,delayed previously,furniture/equipment,100<=X<500,1<=X<4,none,life insurance,none,own,good,1
0<=X<200,9,existing paid,furniture/equipment,no known savings,4<=X<7,none,car,none,own,good,1
0<=X<200,60,delayed previously,radio/tv,no known savings,1<=X<4,none,real estate,none,own,good,1
no checking,24,critical/other existing credit,radio/tv,<100,1<=X<4,none,real estate,none,own,good,1
<0,12,all paid,radio/tv,<100,1<=X<4,none,no known property,none,for free,bad,0
no checking,15,existing paid,used car,100<=X<500,<1,none,car,none,own,good,1
no checking,11,critical/other existing credit,radio/tv,100<=X<500,unemployed,none,real estate,none,own,good,1
<0,12,existing paid,furniture/equipment,<100,1<=X<4,none,real estate,none,own,good,1
<0,24,existing paid,radio/tv,<100,>=7,none,car,none,own,good,1
<0,18,critical/other existing credit,new car,<100,>=7,none,no known property,none,for free,good,1
no checking,12,critical/other existing credit,education,<100,>=7,none,no known property,bank,for free,good,1
no checking,10,critical/other existing credit,new car,<100,>=7,none,real estate,none,own,good,1
0<=X<200,15,existing paid,radio/tv,<100,>=7,none,car,none,own,bad,0
no checking,36,critical/other existing credit,business,no known savings,>=7,none,real estate,none,own,good,1
no checking,24,existing paid,radio/tv,<100,<1,none,car,stores,own,good,1
<0,14,existing paid,new car,<100,>=7,none,life insurance,none,own,bad,0
no checking,24,existing paid,radio/tv,no known savings,>=7,none,car,none,own,good,1
no checking,18,existing paid,new car,no known savings,4<=X<7,none,life insurance,none,own,good,1
no checking,12,critical/other existing credit,furniture/equipment,500<=X<1000,4<=X<7,none,car,none,rent,good,1
0<=X<200,48,all paid,new car,no known savings,unemployed,co applicant,no known property,none,for free,good,1
0<=X<200,48,existing paid,radio/tv,<100,4<=X<7,none,real estate,none,own,bad,0
<0,30,existing paid,repairs,<100,<1,none,no known property,none,own,bad,0
no checking,9,existing paid,radio/tv,<100,1<=X<4,none,real estate,none,own,good,1
no checking,18,critical/other existing credit,radio/tv,<100,1<=X<4,none,car,none,own,good,1
<0,12,existing paid,furniture/equipment,no known savings,>=7,none,life insurance,none,own,good,1
no checking,6,existing paid,furniture/equipment,<100,<1,none,life insurance,none,own,bad,0
no checking,24,existing paid,radio/tv,100<=X<500,1<=X<4,none,car,none,rent,good,1
no checking,15,critical/other existing credit,used car,>=1000,>=7,none,no known property,none,rent,good,1
no checking,12,existing paid,furniture/equipment,<100,1<=X<4,none,real estate,none,own,good,1
>=200,18,all paid,radio/tv,no known savings,4<=X<7,none,car,bank,own,good,1
no checking,15,critical/other existing credit,furniture/equipment,no known savings,>=7,none,life insurance,none,own,good,1
0<=X<200,24,critical/other existing credit,new car,100<=X<500,<1,none,car,none,own,good,1
<0,47,existing paid,new car,<100,<1,none,real estate,none,own,good,1
<0,48,existing paid,used car,<100,4<=X<7,none,life insurance,none,own,good,1
0<=X<200,48,delayed previously,other,100<=X<500,unemployed,none,no known property,none,for free,good,1
0<=X<200,12,existing paid,radio/tv,<100,1<=X<4,guarantor,real estate,none,own,good,1
<0,24,delayed previously,radio/tv,<100,<1,none,real estate,stores,own,bad,0
no checking,12,existing paid,business,<100,1<=X<4,none,real estate,none,own,good,1
0<=X<200,36,existing paid,used car,<100,<1,none,car,none,rent,bad,0
<0,24,critical/other existing credit,used car,<100,>=7,none,no known property,none,for free,good,1
>=200,42,critical/other existing credit,used car,<100,>=7,none,no known property,none,for free,good,1
no checking,48,critical/other existing credit,business,no known savings,>=7,none,car,bank,own,good,1
0<=X<200,48,existing paid,furniture/equipment,<100,<1,none,car,none,own,bad,0
no checking,12,existing paid,used car,no known savings,<1,none,car,none,rent,good,1
no checking,10,existing paid,new car,no known savings,>=7,co applicant,life insurance,none,own,good,1
no checking,18,existing paid,furniture/equipment,<100,1<=X<4,none,real estate,none,own,good,1
0<=X<200,21,critical/other existing credit,furniture/equipment,>=1000,4<=X<7,none,car,none,own,good,1
no checking,6,existing paid,new car,<100,unemployed,none,real estate,none,own,good,1
0<=X<200,36,no credits/all paid,radio/tv,<100,1<=X<4,none,car,none,own,bad,0
>=200,24,critical/other existing credit,new car,no known savings,4<=X<7,none,real estate,bank,own,bad,0
<0,10,critical/other existing credit,new car,<100,4<=X<7,co applicant,life insurance,none,own,good,1
no checking,48,critical/other existing credit,new car,500<=X<1000,1<=X<4,none,no known property,bank,for free,bad,0
no checking,6,existing paid,furniture/equipment,>=1000,1<=X<4,none,real estate,none,own,good,1
no checking,30,existing paid,used car,no known savings,4<=X<7,none,life insurance,stores,rent,good,1
<0,12,existing paid,radio/tv,100<=X<500,<1,none,no known property,none,own,bad,0
0<=X<200,8,existing paid,furniture/equipment,<100,1<=X<4,none,real estate,none,own,bad,0
0<=X<200,9,existing paid,new car,<100,1<=X<4,none,real estate,none,rent,good,1
0<=X<200,48,existing paid,other,no known savings,unemployed,none,no known property,bank,for free,good,1
no checking,24,existing paid,furniture/equipment,100<=X<500,1<=X<4,none,car,stores,own,good,1
>=200,24,existing paid,furniture/equipment,<100,<1,none,car,none,own,good,1
0<=X<200,12,existing paid,new car,<100,4<=X<7,none,car,bank,own,bad,0
>=200,4,existing paid,new car,no known savings,<1,none,real estate,none,own,good,1
<0,36,all paid,furniture/equipment,<100,>=7,none,car,bank,own,bad,0
<0,12,existing paid,furniture/equipment,<100,1<=X<4,guarantor,life insurance,none,own,good,1
0<=X<200,24,existing paid,furniture/equipment,no known savings,1<=X<4,none,life insurance,none,own,good,1
no checking,12,critical/other existing credit,education,<100,1<=X<4,none,car,none,own,good,1
<0,15,delayed previously,furniture/equipment,<100,>=7,none,life insurance,none,own,good,1
0<=X<200,30,critical/other existing credit,new car,<100,unemployed,none,car,none,own,bad,0
<0,24,existing paid,radio/tv,<100,<1,none,life insurance,none,own,bad,0
<0,24,existing paid,used car,<100,4<=X<7,none,no known property,none,for free,good,1
<0,18,existing paid,furniture/equipment,>=1000,1<=X<4,none,car,none,own,good,1
no checking,18,critical/other existing credit,new car,<100,1<=X<4,none,real estate,none,own,good,1
<0,8,critical/other existing credit,new car,<100,4<=X<7,none,real estate,none,own,good,1
no checking,12,critical/other existing credit,furniture/equipment,no known savings,>=7,none,life insurance,none,rent,good,1
no checking,24,existing paid,new car,>=1000,4<=X<7,none,car,none,own,good,1
>=200,36,existing paid,radio/tv,<100,>=7,none,car,none,own,good,1
0<=X<200,6,existing paid,radio/tv,<100,>=7,none,car,none,own,good,1
<0,24,critical/other existing credit,used car,<100,unemployed,none,no known property,none,for free,good,1
